Target Index	MSCI World
BBA-10Y Spread	-0.9409013955031688	-0.9253792050961919	-0.9059150244842473	-0.9116750561668294	
BOJ자산	0.9382290149773842	0.9377505793447201	0.9445692193157236	0.946970508978951	
BoK BSI	0.808626422846503	0.8991874457047906	0.9241409791413663	0.8955864861854304	
Brent유가	0.8950064030078592	0.8917444052637519	0.8503644432786902	0.7966248588059804	
CHF/AUD	0.46316870216082856	0.5565396907691104	0.5654614956383821	0.655254045964152	
CNY/USD	-0.3187592816867354	-0.09824928219649005	0.16191264029419972	0.43183238786283273	
CPB 선진국 산업생산	0.9432694869141309	0.9590896495622064	0.9562297438005977	0.9265822487314299	
CPB 선진국 수출	0.9337781974010043	0.954555487300514	0.9382234223235592	0.9065181891034306	
CPB 세계교역	0.9521405081463038	0.9442251273658853	0.9347154860654353	0.916538484570148	
CPB 세계생산	0.97130252467423	0.9757138375744586	0.9750744701401195	0.9682117887501203	
CPB 이머징 산업생산	0.9702330967103853	0.9640328750411941	0.9623571560579957	0.9692598717420792	
CPB 이머징 수출	0.886402301217261	0.8716436450130127	0.8710382331575097	0.8565867814027309	
CPI 주거비	0.9715527734343399	0.9729828095217247	0.9724280771048439	0.9727379098340834	
CRB 금속지수	0.9319126591795469	0.9237412698017683	0.9159617353342583	0.9243898932897017	
CRB 상품선물지수	0.5595221160778864	0.5184836742760897	0.43158138365127985	0.245741380576494	
Citi G10 서프라이즈 지수	0.46909912070588017	0.5631693499997849	0.5710350770855958	0.5009082718976753	
Citi Macro Risk Index	-0.4477795069008536	-0.6400958662705594	-0.7630990419122856	-0.8087923709128176	
ECB 자산	0.9538670734091288	0.9580548552724468	0.9622728644274026	0.9651023297387952	
EMBI+스프레드	-0.8327141289854516	-0.8398523632872045	-0.8065763562945318	-0.8132578736937438	
EU27소비자신뢰지수	0.9080967931125179	0.842670633130665	0.8060510769378096	0.7918904776360954	
EU27소비자신뢰지수: 일반경제상황과거1년	0.8626349726577976	0.7824631723241938	0.7053374510444276	0.6317544519511908	
EU27소비자신뢰지수:금융상황과거1년	0.8436243222414919	0.8791862215851349	0.8953425122956891	0.9123372948603943	
EU27소비자신뢰지수:주요구매현재	0.39558973961404487	0.44299517592415494	0.5198896274239422	0.5893917181763765	
FED 5Y FWD BEI	0.6956838553360124	0.6411866248275321	0.5454866881832862	0.4947310478562927	
FED자산	-0.687293965161902	-0.6224444550497382	-0.642897993188853	-0.6276417796074907	
FTSE100	0.8475655019607437	0.8935015639277423	0.8898946240212802	0.8910446166856973	
FTSE100 P/B	0.5052681590548807	0.6665486063313895	0.7024571370584921	0.6673326633881002	
IBOVESPA	0.9323672090646907	0.9107806846284677	0.8891903261738994	0.9088548431935468	
IBOVESPA P/B	0.8681117124106362	0.8412528537489244	0.823739882943411	0.8385008415410872	
IBOVESPA P/E	0.005699708285573364	0.07328179731967194	0.046229179519957385	0.08247190887663726	
ISM 고용(계조)	0.8516586383783391	0.9003322973157616	0.8881665476047451	0.9085956453946223	
ISM 비제조업지수(계조)	0.7155215804606325	0.6587581560326782	0.6088709631066115	0.5115340224743644	
ISM 신규수주(계조)	0.8923916754172554	0.9257066467090967	0.9186350507831681	0.8837109738050191	
ISM 재고(계조)	0.6252119643593832	0.5695418991498219	0.5451787317586341	0.5561252423052265	
ISM 제조업지수(계조)	0.9276442204457582	0.9445354363575189	0.9442281490779177	0.9344522076155217	
ISM 종합지수	0.7649409864419828	0.7362152952122644	0.7064372245702787	0.6423202774255263	
JPM 글로벌 금리	0.6916352179526553	0.5496293535813984	0.4422384847413795	0.36453470917088393	
JPM 이머징통화지수	0.7405322775425653	0.6812891577658554	0.5771291526035883	0.47841180195850974	
JPY/USD	0.00960806825069663	-0.014331361700183776	-0.052368752916426016	-0.11389126160113659	
KOSPI	0.9670357128104222	0.9497816455723262	0.9248073506216868	0.9091332501411451	
KOSPI & KOSDAQ 외국인 순매수	-0.4268019595889309	-0.2866334592444751	-0.19611704554147033	0.019299089363271713	
KOSPI P/B	0.9324685183589355	0.9005598982568085	0.8613538707001884	0.8192737228598884	
KOSPI외국인수매수(대금)	-0.39039998341811377	-0.2583981109138034	-0.1862464791747714	0.004221990936208381	
KRW/JPY	-0.7024320358604884	-0.5808963175470407	-0.41409942009571926	-0.23285296808221959	
KRW/USD	-0.7682095052959276	-0.6904553809871771	-0.583099520647487	-0.4725942098974903	
LME Index	0.9556812468518808	0.9643639179678606	0.947106534980453	0.9513707667178813	
MBA 주택융자 신청지수	0.14381143494874243	0.30740455191889465	0.22378574508129356	0.15388557407218975	
MOVE 지수	-0.7764945532652772	-0.7656060441692009	-0.779202004659339	-0.7695209217229689	
MS 금융환경지수	-0.7160199425621719	-0.7309432942658991	-0.6800294690383405	-0.6528657060302028	
MSCI AC ASIA(일본 제외, LOCAL)	0.9891671178333256	0.9563304406558766	0.9237831223942519	0.9212502702055407	
MSCI ACWI	0.9997216776109025	0.9652313181362534	0.9258216844148159	0.9162093254232218	
MSCI ACWI(Local)	0.9960533386357406	0.9691727850538691	0.9341207506112288	0.9218865597046697	
MSCI CHINA	0.9796895390824677	0.9313388715692312	0.8884202287387598	0.8834952237169209	
MSCI EM	0.988447183162542	0.954872841373435	0.9182046496822713	0.9182308540996438	
MSCI EM(Local)	0.9903149394210453	0.9602476894344354	0.9289878688430859	0.931359651647099	
MSCI World	1.0	0.9654092058999219	0.9253045145742582	0.9132916381218276	
MSCI World(Local)	0.9937960936416904	0.967782193654511	0.9319445410888558	0.9167286899379029	
